station_id,graph_ids,split,valid_count,min_z,max_z,mean_z,std_z,train_min_z,train_max_z,out_of_train_range_count,out_of_train_range_fraction,normalization_train_min_z,normalization_train_max_z,out_of_normalization_range_count,out_of_normalization_range_fraction,max_abs_delta_z,train_jump_outer_fence_m,suspicious_jump_count,train_event_count,train_reference_shift_event_count,train_reference_shift_event_ids,max_train_event_median_shift_m,normalization_computed_from_split,qc_status,qc_reason
611E1460,B008,TRAIN,968,141.29,142.62,141.5843285123967,0.2336088671763271,141.29,142.62,0,0.0,0.31,1175.29,0,0.0,0.75,0.08000000000004093,37,25,0,,0.7700000000000102,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E1460,B008,VALIDATION,263,141.41,142.35,141.78482889733843,0.27392352253715857,141.29,142.62,0,0.0,0.31,1175.29,0,0.0,0.28000000000000114,0.08000000000004093,8,25,0,,0.7700000000000102,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E1460,B008,TEST,246,141.46,142.4,141.7989837398374,0.2430935944663399,141.29,142.62,0,0.0,0.31,1175.29,0,0.0,0.18999999999999773,0.08000000000004093,4,25,0,,0.7700000000000102,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2360,B010,TRAIN,1558,79.18,82.31,79.69033376123235,0.40202570061683446,79.18,82.31,0,0.0,0.31,1175.29,0,0.0,1.710000000000008,0.08000000000004093,121,28,0,,0.4200000000000017,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2360,B010,VALIDATION,118,79.27,80.21,79.54855932203388,0.2319565835461198,79.18,82.31,0,0.0,0.31,1175.29,0,0.0,0.21000000000000796,0.08000000000004093,7,28,0,,0.4200000000000017,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2360,B010,TEST,245,79.21,81.02,79.55575510204082,0.3364459219433883,79.18,82.31,0,0.0,0.31,1175.29,0,0.0,1.1400000000000006,0.08000000000004093,19,28,0,,0.4200000000000017,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2820,B013,TRAIN,1082,41.89,45.6,42.86037892791128,0.5486339485153517,41.89,45.6,0,0.0,0.31,1175.29,0,0.0,1.1799999999999997,0.4099999999999824,25,15,0,,0.8599999999999994,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2820,B013,VALIDATION,90,42.12,43.02,42.56077777777777,0.2509281782050073,41.89,45.6,0,0.0,0.31,1175.29,0,0.0,0.2700000000000031,0.4099999999999824,0,15,0,,0.8599999999999994,TRAIN,OK,NONE
611E2820,B013,TEST,178,41.73,42.65,42.13303370786517,0.1886969182410446,41.89,45.6,15,0.08426966292134831,0.31,1175.29,0,0.0,0.14000000000000057,0.4099999999999824,0,15,0,,0.8599999999999994,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE
611E2920,B014,TRAIN,409,82.83,84.4,83.68259168704158,0.39145972451979616,82.83,84.4,0,0.0,0.31,1175.29,0,0.0,0.4399999999999977,0.12999999999999545,20,11,0,,0.45000000000000284,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2920,B014,VALIDATION,68,83.05,84.83,83.80073529411766,0.578805352267192,82.83,84.4,15,0.22058823529411764,0.31,1175.29,0,0.0,0.7199999999999989,0.12999999999999545,6,11,0,,0.45000000000000284,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2920,B014,TEST,172,84.39,85.7,84.91017441860464,0.2818016658582336,82.83,84.4,170,0.9883720930232558,0.31,1175.29,0,0.0,0.6700000000000017,0.12999999999999545,21,11,0,,0.45000000000000284,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611G3160,B016,TRAIN,596,0.12,576.12,451.54491610738256,235.12954010864811,0.12,576.12,0,0.0,0.31,1175.29,2,0.003355704697986577,1.1000000000000227,0.45999999999998176,15,15,2,B016_F0013;B016_F0014,573.465,TRAIN,FAIL,TRAIN_WATER_LEVEL_REFERENCE_SHIFT_EVENTS=B016_F0013;B016_F0014
611G3160,B016,VALIDATION,284,575.18,576.69,576.1005985915493,0.2755123156128512,0.12,576.12,153,0.5387323943661971,0.31,1175.29,0,0.0,0.5,0.45999999999998176,2,15,2,B016_F0013;B016_F0014,573.465,TRAIN,FAIL,TRAIN_WATER_LEVEL_REFERENCE_SHIFT_EVENTS=B016_F0013;B016_F0014
611G3160,B016,TEST,79,576.34,578.74,577.7950632911392,0.6438528674950277,0.12,576.12,79,1.0,0.31,1175.29,0,0.0,0.7699999999999818,0.45999999999998176,6,15,2,B016_F0013;B016_F0014,573.465,TRAIN,FAIL,TRAIN_WATER_LEVEL_REFERENCE_SHIFT_EVENTS=B016_F0013;B016_F0014
611H1650,B017,TRAIN,778,293.48,295.67,295.1288303341902,0.38352517840834516,293.48,295.67,0,0.0,0.31,1175.29,0,0.0,1.3799999999999955,0.20999999999986585,44,14,0,,0.7450000000000045,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611H1650,B017,VALIDATION,181,293.69,295.43,294.983591160221,0.30383884345946843,293.48,295.67,0,0.0,0.31,1175.29,0,0.0,0.4200000000000159,0.20999999999986585,6,14,0,,0.7450000000000045,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611H1650,B017,TEST,250,294.27,295.46,294.90892,0.2575127833720114,293.48,295.67,0,0.0,0.31,1175.29,0,0.0,0.3699999999999477,0.20999999999986585,4,14,0,,0.7450000000000045,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611H2032,B018,TRAIN,336,40.89,42.85,41.56738095238095,0.41147996261930936,40.89,42.85,0,0.0,0.31,1175.29,0,0.0,1.0,0.5000000000000142,3,7,0,,0.7399999999999949,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611H2032,B018,VALIDATION,59,41.63,42.69,42.06118644067798,0.2587262459137437,40.89,42.85,0,0.0,0.31,1175.29,0,0.0,0.14000000000000057,0.5000000000000142,0,7,0,,0.7399999999999949,TRAIN,OK,NONE
611H2032,B018,TEST,170,41.57,42.87,42.16782352941177,0.32820810028612263,40.89,42.85,1,0.0058823529411764705,0.31,1175.29,0,0.0,0.3200000000000003,0.5000000000000142,0,7,0,,0.7399999999999949,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE
612E1060,B019,TRAIN,1592,265.96,270.02,266.6322864321608,0.5406797539658544,265.96,270.02,0,0.0,0.31,1175.29,0,0.0,1.839999999999975,0.08000000000015461,88,27,0,,0.8599999999999568,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
612E1060,B019,VALIDATION,299,265.9,268.81,266.4974247491639,0.49608540186409755,265.96,270.02,5,0.016722408026755852,0.31,1175.29,0,0.0,1.1800000000000068,0.08000000000015461,26,27,0,,0.8599999999999568,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
612E1060,B019,TEST,208,265.94,267.38,266.48812499999997,0.338592737765163,265.96,270.02,1,0.004807692307692308,0.31,1175.29,0,0.0,0.5699999999999932,0.08000000000015461,12,27,0,,0.8599999999999568,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
612E2800,B022,TRAIN,1466,48.2,50.87,48.56338335607094,0.3835306812512428,48.2,50.87,0,0.0,0.31,1175.29,0,0.0,2.0799999999999983,0.0800000000000125,93,27,0,,1.2850000000000037,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
612E2800,B022,VALIDATION,249,48.01,51.05,48.45265060240963,0.45400515982777045,48.2,50.87,63,0.25301204819277107,0.31,1175.29,0,0.0,1.009999999999998,0.0800000000000125,42,27,0,,1.2850000000000037,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
612E2800,B022,TEST,74,48.17,49.42,48.67891891891891,0.3575576595632441,48.2,50.87,4,0.05405405405405406,0.31,1175.29,0,0.0,0.3400000000000034,0.0800000000000125,6,27,0,,1.2850000000000037,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E1450,B023,TRAIN,668,148.43,152.67,149.29369760479042,0.8338118289171532,148.43,152.67,0,0.0,0.31,1175.29,0,0.0,2.1200000000000045,0.04000000000007731,76,10,0,,0.8849999999999909,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E1450,B023,VALIDATION,223,148.53,149.03,148.7564125560538,0.18681817789290164,148.43,152.67,0,0.0,0.31,1175.29,0,0.0,0.10999999999998522,0.04000000000007731,8,10,0,,0.8849999999999909,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E1450,B023,TEST,70,148.33,148.41,148.39842857142852,0.024936245237211833,148.43,152.67,70,1.0,0.31,1175.29,0,0.0,0.07999999999998408,0.04000000000007731,1,10,0,,0.8849999999999909,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E1540,B024,TRAIN,2142,185.87,194.48,186.8683426704015,0.8949239613411857,185.87,194.48,0,0.0,0.31,1175.29,0,0.0,2.569999999999993,0.12000000000000455,147,25,0,,2.009999999999991,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E1540,B024,VALIDATION,134,185.97,187.69,186.45335820895522,0.45856678744978446,185.87,194.48,0,0.0,0.31,1175.29,0,0.0,0.44999999999998863,0.12000000000000455,5,25,0,,2.009999999999991,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E1540,B024,TEST,494,186.0,188.19,186.71722672064777,0.4414291764581457,185.87,194.48,0,0.0,0.31,1175.29,0,0.0,0.4200000000000159,0.12000000000000455,13,25,0,,2.009999999999991,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E2580,B025,TRAIN,1295,191.07,198.27,191.70345173745173,0.6582360133076339,191.07,198.27,0,0.0,0.31,1175.29,0,0.0,3.039999999999992,0.12000000000000455,104,25,0,,2.0049999999999955,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
